question,state,year,applies to,response,citations,cautions
Does state law prohibit any people from having firearms based on other criminal history?,HI,2019,Possession,Yes,,
Does state law prohibit any people from having firearms based on other criminal history?,HI,2004,Purchase,Yes,,
Does state law prohibit any people from having firearms based on other criminal history?,AK,1991,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,OR,1991,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,WA,1991,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,CA,1991,All,Yes,"Cal. Penal Code § 12021(d), (e)","A person who committed certain offenses as a juvenile and is adjudged a ward of the juvenile court, is prohibited from possessing a firearm until the age of 30 years."
Does state law prohibit any people from having firearms based on other criminal history?,NV,1991,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,ID,1991,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,UT,1991,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,AZ,1991,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,MT,1991,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,WY,1991,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,NM,1991,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,CO,1991,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,ND,1991,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,SD,1991,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,NE,1991,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,TX,1991,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,KS,1991,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,OK,1991,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,MN,1991,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,IA,2019,Handgun purchase,No,,
Does state law prohibit any people from having firearms based on other criminal history?,IA,2019,Possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,LA,1991,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,AR,1991,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,MO,1991,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,MS,1991,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,WI,1991,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,IL,1991,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,AL,2019,Handgun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,AL,2019,Long gun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,TN,1991,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,IN,1991,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,KY,1991,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,MI,2019,Handgun purchase,No,,
Does state law prohibit any people from having firearms based on other criminal history?,MI,2019,Possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,GA,1991,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,OH,1991,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,FL,1991,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,WV,1991,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,SC,2019,Handgun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,SC,2019,Long gun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,NC,2019,Handgun purchase,No,,
Does state law prohibit any people from having firearms based on other criminal history?,NC,2019,Possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,PA,1994,Handgun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,PA,1994,Long gun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,VA,1991,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,MD,1991,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,DC,1991,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,NY,2017,Handgun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,NY,2019,Long gun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,DE,1991,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,NJ,2012,Possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,NJ,2012,Purchase,Yes,,
Does state law prohibit any people from having firearms based on other criminal history?,CT,2019,Handgun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,CT,2019,Long gun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,VT,1991,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,NH,1991,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,MA,1995,Handgun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,MA,1995,Long gun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,RI,1991,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,ME,1991,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,HI,2019,Possession,Yes,,
Does state law prohibit any people from having firearms based on other criminal history?,HI,2004,Purchase,Yes,,
Does state law prohibit any people from having firearms based on other criminal history?,AK,1992,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,OR,1992,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,WA,1992,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,CA,1992,All,Yes,"Cal. Penal Code § 12021(d), (e)","A person who committed certain offenses as a juvenile and is adjudged a ward of the juvenile court, is prohibited from possessing a firearm until the age of 30 years."
Does state law prohibit any people from having firearms based on other criminal history?,NV,1992,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,ID,1992,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,UT,1992,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,AZ,1992,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,MT,1992,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,WY,1992,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,NM,1992,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,CO,1992,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,ND,1992,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,SD,1992,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,NE,1992,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,TX,1992,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,KS,1992,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,OK,1992,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,MN,1992,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,IA,2019,Handgun purchase,No,,
Does state law prohibit any people from having firearms based on other criminal history?,IA,2019,Possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,LA,1992,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,AR,1992,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,MO,1992,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,MS,1992,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,WI,1992,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,IL,1992,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,AL,2019,Handgun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,AL,2019,Long gun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,TN,1992,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,IN,1992,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,KY,1992,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,MI,2019,Handgun purchase,No,,
Does state law prohibit any people from having firearms based on other criminal history?,MI,2019,Possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,GA,1992,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,OH,1992,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,FL,1992,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,WV,1992,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,SC,2019,Handgun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,SC,2019,Long gun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,NC,2019,Handgun purchase,No,,
Does state law prohibit any people from having firearms based on other criminal history?,NC,2019,Possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,PA,1994,Handgun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,PA,1994,Long gun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,VA,1992,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,MD,1992,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,DC,1992,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,NY,2017,Handgun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,NY,2019,Long gun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,DE,1992,All,Yes,"Del. Code tit. 11, § 1448(a)(4)","Any person who, as a juvenile, has been adjudicated as delinquent for conduct which, if committed by an adult, would constitute a felony, unless and until that person has reached his 25th birthday."
Does state law prohibit any people from having firearms based on other criminal history?,NJ,2012,Possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,NJ,2012,Purchase,Yes,,
Does state law prohibit any people from having firearms based on other criminal history?,CT,2019,Handgun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,CT,2019,Long gun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,VT,1992,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,NH,1992,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,MA,1995,Handgun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,MA,1995,Long gun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,RI,1992,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,ME,1992,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,HI,2019,Possession,Yes,,
Does state law prohibit any people from having firearms based on other criminal history?,HI,2004,Purchase,Yes,,
Does state law prohibit any people from having firearms based on other criminal history?,AK,1993,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,OR,1993,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,WA,1993,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,CA,1993,All,Yes,"Cal. Penal Code § 12021(d), (e)","A person who committed certain offenses as a juvenile and is adjudged a ward of the juvenile court, is prohibited from possessing a firearm until the age of 30 years."
Does state law prohibit any people from having firearms based on other criminal history?,NV,1993,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,ID,1993,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,UT,1993,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,AZ,1993,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,MT,1993,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,WY,1993,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,NM,1993,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,CO,1993,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,ND,1993,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,SD,1993,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,NE,1993,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,TX,1993,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,KS,1993,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,OK,1993,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,MN,1993,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,IA,2019,Handgun purchase,No,,
Does state law prohibit any people from having firearms based on other criminal history?,IA,2019,Possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,LA,1993,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,AR,1993,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,MO,1993,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,MS,1993,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,WI,1993,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,IL,1993,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,AL,2019,Handgun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,AL,2019,Long gun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,TN,1993,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,IN,1993,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,KY,1993,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,MI,2019,Handgun purchase,No,,
Does state law prohibit any people from having firearms based on other criminal history?,MI,2019,Possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,GA,1993,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,OH,1993,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,FL,1993,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,WV,1993,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,SC,2019,Handgun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,SC,2019,Long gun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,NC,2019,Handgun purchase,No,,
Does state law prohibit any people from having firearms based on other criminal history?,NC,2019,Possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,PA,1994,Handgun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,PA,1994,Long gun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,VA,1993,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,MD,1993,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,DC,1993,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,NY,2017,Handgun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,NY,2019,Long gun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,DE,1993,All,Yes,"Del. Code tit. 11, § 1448(a)(4)","Any person who, as a juvenile, has been adjudicated as delinquent for conduct which, if committed by an adult, would constitute a felony, unless and until that person has reached his 25th birthday."
Does state law prohibit any people from having firearms based on other criminal history?,NJ,2012,Possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,NJ,2012,Purchase,Yes,,
Does state law prohibit any people from having firearms based on other criminal history?,CT,2019,Handgun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,CT,2019,Long gun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,VT,1993,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,NH,1993,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,MA,1995,Handgun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,MA,1995,Long gun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,RI,1993,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,ME,1993,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,HI,2019,Possession,Yes,,
Does state law prohibit any people from having firearms based on other criminal history?,HI,2004,Purchase,Yes,,
Does state law prohibit any people from having firearms based on other criminal history?,AK,1994,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,OR,1994,All,Yes,Or. Rev. Stat. § 166.250,"A person who (i)  While a minor, was found to be within the jurisdiction of the juvenile court for having committed an act which, if committed by an adult, would constitute a felony or a misdemeanor involving violence, as defined in ORS 166.470; and (ii)  Was discharged from the jurisdiction of the juvenile court within four years prior to being charged under this section."
Does state law prohibit any people from having firearms based on other criminal history?,WA,1994,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,CA,1994,All,Yes,"Cal. Penal Code § 12021(d), (e)","A person who committed certain offenses as a juvenile and is adjudged a ward of the juvenile court, is prohibited from possessing a firearm until the age of 30 years."
Does state law prohibit any people from having firearms based on other criminal history?,NV,1994,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,ID,1994,All,No,,
Does state law prohibit any people from having firearms based on other criminal history?,UT,1999,Handgun possession,No,,
Does state law prohibit any people from having firearms based on other criminal history?,UT,1999,Long gun possession,No,,
