question,state,year,applies to,response,citations,cautions
Does state law disqualify people from getting concealed carry permits based on other criminal history?,HI,1991,All,No,,
Does state law disqualify people from getting concealed carry permits based on other criminal history?,AK,1991,All,N/A,,
Does state law disqualify people from getting concealed carry permits based on other criminal history?,OR,1991,All,Yes,Or. Rev. Stat. § 166.291(1),Applicant is disqualified if the applicant has any outstanding warrant for arrest or is free on any form of pretrial release.
Does state law disqualify people from getting concealed carry permits based on other criminal history?,WA,1991,All,Yes,Wash. Rev. Code § 9.41.070,"Denial is required for: Persons who are free on bond or personal recognizance pending trial, appeal, or sentencing for a crime of violence; Persons with outstanding arrest warrants for a felony or misdemeanor; Persons who within the previous year have been ordered to forfeit a firearm under Wash. Rev. Code § 9.41.098 for possessing a firearm in any place in which a concealed pistol license is required while under the influence of any drug or intoxicating liquor."
Does state law disqualify people from getting concealed carry permits based on other criminal history?,CA,1991,All,No,,
Does state law disqualify people from getting concealed carry permits based on other criminal history?,NV,1991,All,No,,
Does state law disqualify people from getting concealed carry permits based on other criminal history?,ID,1991,All,Yes,Idaho Code § 18-3302,"Denial is required for persons who are under indictment or formal accusation of a crime punishable by imprisonment for a term exceeding one year; persons who have had an entry of withheld judgment for a criminal offense which could disqualify him from owning, possessing or receiving a firearm."
Does state law disqualify people from getting concealed carry permits based on other criminal history?,UT,1991,All,No,,
Does state law disqualify people from getting concealed carry permits based on other criminal history?,AZ,1991,All,N/A,,
Does state law disqualify people from getting concealed carry permits based on other criminal history?,MT,1991,All,Yes,Mont. Code § 45-8-321(1),Denial is required for: Persons charged and awaiting judgment for a crime punishable by incarceration for 1 year or more; persons who have a warrant out for their arrest.
Does state law disqualify people from getting concealed carry permits based on other criminal history?,WY,1991,All,No,,
Does state law disqualify people from getting concealed carry permits based on other criminal history?,NM,1991,All,N/A,,"The carrying of a concealed loaded firearm was prohibited in public, except by peace officers, until July 1, 2001. Concealed handgun permit holders were allowed to carry concealed handguns in public starting July 1, 2001, but the Department of Public Safety was not authorized to begin issuing permits until January 1, 2004."
Does state law disqualify people from getting concealed carry permits based on other criminal history?,CO,1991,All,No,,
Does state law disqualify people from getting concealed carry permits based on other criminal history?,ND,1991,All,No,,
Does state law disqualify people from getting concealed carry permits based on other criminal history?,SD,1991,All,Yes,S.D. Codified Laws § 23-7-7.1,The applicant is disqualified if he has a history of violence.
Does state law disqualify people from getting concealed carry permits based on other criminal history?,NE,1991,All,N/A,,
Does state law disqualify people from getting concealed carry permits based on other criminal history?,TX,1991,All,N/A,,
Does state law disqualify people from getting concealed carry permits based on other criminal history?,KS,1991,All,N/A,,
Does state law disqualify people from getting concealed carry permits based on other criminal history?,OK,1991,All,N/A,,
Does state law disqualify people from getting concealed carry permits based on other criminal history?,MN,1991,All,No,,
Does state law disqualify people from getting concealed carry permits based on other criminal history?,IA,1991,All,No,,
Does state law disqualify people from getting concealed carry permits based on other criminal history?,LA,1991,All,No,,
Does state law disqualify people from getting concealed carry permits based on other criminal history?,AR,1991,All,N/A,,
Does state law disqualify people from getting concealed carry permits based on other criminal history?,MO,1991,All,N/A,,
Does state law disqualify people from getting concealed carry permits based on other criminal history?,MS,1991,All,No,,
Does state law disqualify people from getting concealed carry permits based on other criminal history?,WI,1991,All,N/A,,
Does state law disqualify people from getting concealed carry permits based on other criminal history?,IL,1991,All,N/A,,
Does state law disqualify people from getting concealed carry permits based on other criminal history?,AL,1991,All,No,,
Does state law disqualify people from getting concealed carry permits based on other criminal history?,TN,1991,All,No,,
Does state law disqualify people from getting concealed carry permits based on other criminal history?,IN,1991,All,No,,
Does state law disqualify people from getting concealed carry permits based on other criminal history?,KY,1991,All,N/A,,
Does state law disqualify people from getting concealed carry permits based on other criminal history?,MI,1991,All,No,,
Does state law disqualify people from getting concealed carry permits based on other criminal history?,GA,1991,All,Yes,Ga. Code § 16-11-129(b)(2),"The application must be denied if there are proceedings pending against the applicant for a felony, forcible misdemeanor, or for the following misdemeanors: carrying a weapon without a weapons carry license (in violation of Ga. Code § 16-11-126), carrying a weapon or long gun in an unauthorized location (in violation of Ga. Code § 16-11-127), or carrying a pistol without license (in violation of Ga. Code § 16-11-128)."
Does state law disqualify people from getting concealed carry permits based on other criminal history?,OH,1991,All,N/A,,
Does state law disqualify people from getting concealed carry permits based on other criminal history?,FL,1991,All,No,,
Does state law disqualify people from getting concealed carry permits based on other criminal history?,WV,1991,All,No,,
Does state law disqualify people from getting concealed carry permits based on other criminal history?,SC,1991,All,No,,
Does state law disqualify people from getting concealed carry permits based on other criminal history?,NC,1991,All,N/A,,
Does state law disqualify people from getting concealed carry permits based on other criminal history?,PA,1991,All,No,,
Does state law disqualify people from getting concealed carry permits based on other criminal history?,VA,1991,All,No,,
Does state law disqualify people from getting concealed carry permits based on other criminal history?,MD,1991,All,Yes,"Md. Code art. 27, § 36E(a)(3)","Denial is required for any person committed to any detention, training, or correctional institution for juveniles for longer than one year after an adjudication of delinquency, unless more than 10 years have elapsed since release from the correctional institution."
Does state law disqualify people from getting concealed carry permits based on other criminal history?,DC,1991,All,No,,
Does state law disqualify people from getting concealed carry permits based on other criminal history?,NY,1991,All,No,,
Does state law disqualify people from getting concealed carry permits based on other criminal history?,DE,1991,All,No,,
Does state law disqualify people from getting concealed carry permits based on other criminal history?,NJ,1991,All,Yes,N.J. Stat. § 2C:58-3(c); N.J. Stat. § 2C:58-4(d),Denial is required for any person who knowingly falsifies information on a firearm application form.
Does state law disqualify people from getting concealed carry permits based on other criminal history?,CT,1991,All,No,,
Does state law disqualify people from getting concealed carry permits based on other criminal history?,VT,1991,All,N/A,,
Does state law disqualify people from getting concealed carry permits based on other criminal history?,NH,1991,All,No,,
Does state law disqualify people from getting concealed carry permits based on other criminal history?,MA,1991,All,No,,
Does state law disqualify people from getting concealed carry permits based on other criminal history?,RI,1991,All,No,,
Does state law disqualify people from getting concealed carry permits based on other criminal history?,ME,1991,All,No,,"An affirmative answer to any of the following questions is used by the issuing authority, along with other information, in judging the good moral character of an applicant:
a) Is there a formal charging instrument now pending against you in this or any other jurisdiction for a crime that is punishable by one year or more imprisonment or for any other crime alleged to have been committed by you with the use of a dangerous weapon, as defined in Title 17-A, section 2, subsection 9, or of a firearm against another person?
b) Is there a formal charging instrument now pending against you in this or any other jurisdiction for a juvenile offense that: i) Involves conduct that, if committed by an adult, would be punishable by one year or more imprisonment and bodily injury to another person was threatened or resulted; or ii) Is alleged to have been committed by you with the use of a dangerous weapon, as defined in Title 17-A, section 2, subsection 9, or of a firearm against another person?
o) To your knowledge, have you engaged within the past 5 years in reckless or negligent conduct that has been the subject of an investigation by a governmental entity?"
Does state law disqualify people from getting concealed carry permits based on other criminal history?,HI,1992,All,No,,
Does state law disqualify people from getting concealed carry permits based on other criminal history?,AK,1992,All,N/A,,
Does state law disqualify people from getting concealed carry permits based on other criminal history?,OR,1992,All,Yes,Or. Rev. Stat. § 166.291(1),Applicant is disqualified if the applicant has any outstanding warrant for arrest or is free on any form of pretrial release.
