question,state,year,applies to,response,citations,cautions
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,HI,1991,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,AK,1991,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,OR,1991,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,WA,1991,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,CA,1999,Possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,CA,1999,Purchase,Yes,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,NV,1991,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,ID,1991,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,UT,1991,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,AZ,1991,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,MT,1991,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,WY,1991,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,NM,1991,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,CO,1991,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,ND,1991,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,SD,1991,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,NE,1993,Handgun purchase,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,NE,2019,Possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,TX,1991,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,KS,1991,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,OK,1991,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,MN,1991,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,IA,1991,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,LA,1991,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,AR,1991,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,MO,1991,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,MS,1991,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,WI,1991,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,IL,1991,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,AL,1991,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,TN,1991,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,IN,1991,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,KY,1991,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,MI,1995,Handgun purchase,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,MI,2019,Possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,GA,1991,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,OH,1991,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,FL,1991,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,WV,1991,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,SC,1991,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,NC,1991,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,PA,1991,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,VA,1993,Possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,VA,1993,Purchase,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,MD,1995,Handgun possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,MD,2008,Long gun possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,DC,1991,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,NY,1995,Handgun possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,NY,2017,Long gun possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,DE,1991,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,NJ,1991,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,CT,1993,Handgun possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,CT,2000,Long gun possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,VT,1991,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,NH,1991,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,MA,1993,Handgun possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,MA,1993,Long gun possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,RI,1991,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,ME,1991,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,HI,1992,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,AK,1992,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,OR,1992,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,WA,1992,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,CA,1999,Possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,CA,1999,Purchase,Yes,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,NV,1992,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,ID,1992,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,UT,1992,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,AZ,1992,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,MT,1992,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,WY,1992,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,NM,1992,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,CO,1992,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,ND,1992,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,SD,1992,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,NE,1993,Handgun purchase,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,NE,2019,Possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,TX,1992,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,KS,1992,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,OK,1992,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,MN,1992,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,IA,1992,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,LA,1992,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,AR,1992,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,MO,1992,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,MS,1992,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,WI,1992,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,IL,1992,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,AL,1992,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,TN,1992,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,IN,1992,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,KY,1992,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,MI,1995,Handgun purchase,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,MI,2019,Possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,GA,1992,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,OH,1992,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,FL,1992,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,WV,1992,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,SC,1992,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,NC,1992,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,PA,1992,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,VA,1993,Possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,VA,1993,Purchase,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,MD,1995,Handgun possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,MD,2008,Long gun possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,DC,1992,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,NY,1995,Handgun possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,NY,2017,Long gun possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,DE,1992,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,NJ,1992,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,CT,1993,Handgun possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,CT,2000,Long gun possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,VT,1992,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,NH,1992,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,MA,1993,Handgun possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,MA,1993,Long gun possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,RI,1992,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,ME,1992,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,HI,1993,All,Yes,Haw. Rev. Stat. § 134-7(f),"A restraining order prohibits firearms possession by the subject unless the court order, for good cause shown, specifically permits the possession of a firearm and ammunition."
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,AK,1993,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,OR,1993,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,WA,1993,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,CA,1999,Possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,CA,1999,Purchase,Yes,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,NV,1993,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,ID,1993,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,UT,1993,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,AZ,1993,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,MT,1993,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,WY,1993,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,NM,1993,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,CO,1993,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,ND,1993,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,SD,1993,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,NE,1993,Handgun purchase,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,NE,2019,Possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,TX,1993,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,KS,1993,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,OK,1993,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,MN,1993,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,IA,1993,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,LA,1993,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,AR,1993,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,MO,1993,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,MS,1993,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,WI,1993,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,IL,1993,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,AL,1993,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,TN,1993,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,IN,1993,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,KY,1993,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,MI,1995,Handgun purchase,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,MI,2019,Possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,GA,1993,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,OH,1993,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,FL,1993,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,WV,1993,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,SC,1993,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,NC,1993,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,PA,1993,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,VA,1993,Possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,VA,1993,Purchase,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,MD,1995,Handgun possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,MD,2008,Long gun possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,DC,1993,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,NY,1995,Handgun possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,NY,2017,Long gun possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,DE,1993,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,NJ,1993,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,CT,1993,Handgun possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,CT,2000,Long gun possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,VT,1993,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,NH,1993,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,MA,1993,Handgun possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,MA,1993,Long gun possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,RI,1993,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,ME,1993,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,HI,1994,All,Yes,Haw. Rev. Stat. § 134-7(f),"A restraining order prohibits firearms possession by the subject unless the court order, for good cause shown, specifically permits the possession of a firearm and ammunition."
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,AK,1994,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,OR,1994,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,WA,1994,All,Yes,Wash. Rev. Code § 9.41.800(3),
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,CA,1999,Possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,CA,1999,Purchase,Yes,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,NV,1994,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,ID,1994,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,UT,1994,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,AZ,1994,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,MT,1994,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,WY,1994,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,NM,1994,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,CO,1994,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,ND,1994,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,SD,1994,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,NE,2019,Handgun purchase,Yes,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,NE,2019,Possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,TX,1994,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,KS,1994,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,OK,1994,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,MN,1994,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,IA,1994,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,LA,1994,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,AR,1994,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,MO,1994,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,MS,1994,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,WI,1994,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,IL,1994,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,AL,1994,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,TN,1994,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,IN,1994,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,KY,1994,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,MI,1995,Handgun purchase,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,MI,2019,Possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,GA,1994,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,OH,1994,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,FL,1994,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,WV,1994,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,SC,1994,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,NC,1994,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,PA,1994,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,VA,2015,Possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,VA,2019,Purchase,Yes,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,MD,1995,Handgun possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,MD,2008,Long gun possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,DC,1994,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,NY,1995,Handgun possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,NY,2017,Long gun possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,DE,1994,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,NJ,1994,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,CT,2019,Handgun possession,Yes,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,CT,2000,Long gun possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,VT,1994,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,NH,1994,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,MA,2019,Handgun possession,Yes,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,MA,2019,Long gun possession,Yes,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,RI,1994,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,ME,1994,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,HI,1995,All,Yes,Haw. Rev. Stat. § 134-7(f),"A restraining order prohibits firearms possession by the subject unless the court order, for good cause shown, specifically permits the possession of a firearm and ammunition."
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,AK,1995,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,OR,1995,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,WA,1995,All,Yes,Wash. Rev. Code § 9.41.800(3),
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,CA,1999,Possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,CA,1999,Purchase,Yes,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,NV,1995,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,ID,1995,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,UT,1995,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,AZ,1995,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,MT,1995,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,WY,1995,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,NM,1995,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,CO,1995,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,ND,1995,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,SD,1995,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,NE,2019,Handgun purchase,Yes,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,NE,2019,Possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,TX,1995,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,KS,1995,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,OK,1995,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,MN,1995,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,IA,1995,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,LA,1995,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,AR,1995,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,MO,1995,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,MS,1995,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,WI,1995,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,IL,1995,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,AL,1995,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,TN,1995,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,IN,1995,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,KY,1995,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,MI,1995,Handgun purchase,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,MI,2019,Possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,GA,1995,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,OH,1995,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,FL,1995,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,WV,1995,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,SC,1995,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,NC,2019,Handgun purchase,Yes,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,NC,2002,Possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,PA,1995,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,VA,2015,Possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,VA,2019,Purchase,Yes,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,MD,1995,Handgun possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,MD,2008,Long gun possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,DC,1995,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,NY,1995,Handgun possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,NY,2017,Long gun possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,DE,1995,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,NJ,1995,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,CT,2019,Handgun possession,Yes,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,CT,2019,Handgun purchase,Yes,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,CT,2000,Long gun possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,VT,1995,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,NH,1995,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,MA,2019,Handgun possession,Yes,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,MA,2019,Long gun possession,Yes,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,RI,1995,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,ME,1995,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,HI,1996,All,Yes,Haw. Rev. Stat. § 134-7(f),"A restraining order prohibits firearms possession by the subject unless the court order, for good cause shown, specifically permits the possession of a firearm and ammunition."
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,AK,1996,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,OR,1996,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,WA,1996,All,Yes,Wash. Rev. Code § 9.41.800(3),
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,CA,1999,Possession,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,CA,1999,Purchase,Yes,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,NV,1996,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,ID,1996,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,UT,1996,All,No,,
Does state law prohibit all people under final domestic violence restraining orders from having firearms?,AZ,1996,All,No,,
