question,state,year,applies to,response,citations,cautions
"In states that do not prohibit firearm possession by all people under final domestic violence restraining orders, does state law explicitly allow judges, at their discretion, to prohibit people under these orders?",HI,1991,All,No,,
"In states that do not prohibit firearm possession by all people under final domestic violence restraining orders, does state law explicitly allow judges, at their discretion, to prohibit people under these orders?",AK,1991,All,No,,
"In states that do not prohibit firearm possession by all people under final domestic violence restraining orders, does state law explicitly allow judges, at their discretion, to prohibit people under these orders?",OR,1991,All,No,,
"In states that do not prohibit firearm possession by all people under final domestic violence restraining orders, does state law explicitly allow judges, at their discretion, to prohibit people under these orders?",WA,1991,All,No,,
"In states that do not prohibit firearm possession by all people under final domestic violence restraining orders, does state law explicitly allow judges, at their discretion, to prohibit people under these orders?",CA,1991,Possession,No,,
"In states that do not prohibit firearm possession by all people under final domestic violence restraining orders, does state law explicitly allow judges, at their discretion, to prohibit people under these orders?",CA,1991,Purchase,N/A,,
"In states that do not prohibit firearm possession by all people under final domestic violence restraining orders, does state law explicitly allow judges, at their discretion, to prohibit people under these orders?",NV,1991,All,No,,
"In states that do not prohibit firearm possession by all people under final domestic violence restraining orders, does state law explicitly allow judges, at their discretion, to prohibit people under these orders?",ID,1991,All,No,,
"In states that do not prohibit firearm possession by all people under final domestic violence restraining orders, does state law explicitly allow judges, at their discretion, to prohibit people under these orders?",UT,1991,All,No,,
"In states that do not prohibit firearm possession by all people under final domestic violence restraining orders, does state law explicitly allow judges, at their discretion, to prohibit people under these orders?",AZ,1991,All,No,,
"In states that do not prohibit firearm possession by all people under final domestic violence restraining orders, does state law explicitly allow judges, at their discretion, to prohibit people under these orders?",MT,1991,All,No,,A court issuing an order of protection may prohibit the respondent from possessing or using the firearm used in the assault that is the basis for the order. Mont. Code § 40-15-204; Mont. Code § 40-15-201(2)(f).
"In states that do not prohibit firearm possession by all people under final domestic violence restraining orders, does state law explicitly allow judges, at their discretion, to prohibit people under these orders?",WY,1991,All,No,,
"In states that do not prohibit firearm possession by all people under final domestic violence restraining orders, does state law explicitly allow judges, at their discretion, to prohibit people under these orders?",NM,1991,All,No,,
"In states that do not prohibit firearm possession by all people under final domestic violence restraining orders, does state law explicitly allow judges, at their discretion, to prohibit people under these orders?",CO,1991,All,No,,
"In states that do not prohibit firearm possession by all people under final domestic violence restraining orders, does state law explicitly allow judges, at their discretion, to prohibit people under these orders?",ND,1991,All,No,,
"In states that do not prohibit firearm possession by all people under final domestic violence restraining orders, does state law explicitly allow judges, at their discretion, to prohibit people under these orders?",SD,1991,All,No,,
"In states that do not prohibit firearm possession by all people under final domestic violence restraining orders, does state law explicitly allow judges, at their discretion, to prohibit people under these orders?",NE,1991,Handgun purchase,No,,
"In states that do not prohibit firearm possession by all people under final domestic violence restraining orders, does state law explicitly allow judges, at their discretion, to prohibit people under these orders?",NE,1991,Possession,No,,
"In states that do not prohibit firearm possession by all people under final domestic violence restraining orders, does state law explicitly allow judges, at their discretion, to prohibit people under these orders?",TX,1991,All,No,,
"In states that do not prohibit firearm possession by all people under final domestic violence restraining orders, does state law explicitly allow judges, at their discretion, to prohibit people under these orders?",KS,1991,All,No,,
"In states that do not prohibit firearm possession by all people under final domestic violence restraining orders, does state law explicitly allow judges, at their discretion, to prohibit people under these orders?",OK,1991,All,No,,
"In states that do not prohibit firearm possession by all people under final domestic violence restraining orders, does state law explicitly allow judges, at their discretion, to prohibit people under these orders?",MN,1991,All,No,,
"In states that do not prohibit firearm possession by all people under final domestic violence restraining orders, does state law explicitly allow judges, at their discretion, to prohibit people under these orders?",IA,1991,All,No,,
"In states that do not prohibit firearm possession by all people under final domestic violence restraining orders, does state law explicitly allow judges, at their discretion, to prohibit people under these orders?",LA,1991,All,No,,
"In states that do not prohibit firearm possession by all people under final domestic violence restraining orders, does state law explicitly allow judges, at their discretion, to prohibit people under these orders?",AR,1991,All,No,,
"In states that do not prohibit firearm possession by all people under final domestic violence restraining orders, does state law explicitly allow judges, at their discretion, to prohibit people under these orders?",MO,1991,All,No,,
"In states that do not prohibit firearm possession by all people under final domestic violence restraining orders, does state law explicitly allow judges, at their discretion, to prohibit people under these orders?",MS,1991,All,No,,
