question,state,year,applies to,response,citations,cautions
Does state law disqualify people from getting concealed carry permits based on any other reason related to alcohol abuse?,HI,1991,All,No,,
Does state law disqualify people from getting concealed carry permits based on any other reason related to alcohol abuse?,AK,1991,All,N/A,,
Does state law disqualify people from getting concealed carry permits based on any other reason related to alcohol abuse?,OR,1991,All,No,,
Does state law disqualify people from getting concealed carry permits based on any other reason related to alcohol abuse?,WA,1991,All,Yes,Wash. Rev. Code § 9.41.070(1)(g),"A person who, within the past year, has been ordered to forfeit a firearm as a result of carrying a concealed firearm in a place in which a concealed pistol license is required and the person is under the influence of any drug or intoxicating liquor."
Does state law disqualify people from getting concealed carry permits based on any other reason related to alcohol abuse?,CA,1991,All,Yes,Cal. Wel. & Inst. Code § 8103,
Does state law disqualify people from getting concealed carry permits based on any other reason related to alcohol abuse?,NV,1991,All,No,,
Does state law disqualify people from getting concealed carry permits based on any other reason related to alcohol abuse?,ID,1991,All,No,,
Does state law disqualify people from getting concealed carry permits based on any other reason related to alcohol abuse?,UT,1991,All,No,,
Does state law disqualify people from getting concealed carry permits based on any other reason related to alcohol abuse?,AZ,1991,All,N/A,,
Does state law disqualify people from getting concealed carry permits based on any other reason related to alcohol abuse?,MT,1991,All,No,,
Does state law disqualify people from getting concealed carry permits based on any other reason related to alcohol abuse?,WY,1991,All,No,,
Does state law disqualify people from getting concealed carry permits based on any other reason related to alcohol abuse?,NM,1991,All,N/A,,"The carrying of a concealed loaded firearm was prohibited in public, except by peace officers, until July 1, 2001. Concealed handgun permit holders were allowed to carry concealed handguns in public starting July 1, 2001, but the Department of Public Safety was not authorized to begin issuing permits until January 1, 2004."
Does state law disqualify people from getting concealed carry permits based on any other reason related to alcohol abuse?,CO,1991,All,No,,
Does state law disqualify people from getting concealed carry permits based on any other reason related to alcohol abuse?,ND,1991,All,No,,
Does state law disqualify people from getting concealed carry permits based on any other reason related to alcohol abuse?,SD,1991,All,Yes,S.D. Codified Laws § 23-7-7.1,
Does state law disqualify people from getting concealed carry permits based on any other reason related to alcohol abuse?,NE,1991,All,N/A,,
Does state law disqualify people from getting concealed carry permits based on any other reason related to alcohol abuse?,TX,1991,All,N/A,,
Does state law disqualify people from getting concealed carry permits based on any other reason related to alcohol abuse?,KS,1991,All,N/A,,
Does state law disqualify people from getting concealed carry permits based on any other reason related to alcohol abuse?,OK,1991,All,N/A,,
Does state law disqualify people from getting concealed carry permits based on any other reason related to alcohol abuse?,MN,1991,All,No,,
Does state law disqualify people from getting concealed carry permits based on any other reason related to alcohol abuse?,IA,1991,All,Yes,Iowa Code § 724.8(2),
Does state law disqualify people from getting concealed carry permits based on any other reason related to alcohol abuse?,LA,1991,All,No,,
Does state law disqualify people from getting concealed carry permits based on any other reason related to alcohol abuse?,AR,1991,All,N/A,,
Does state law disqualify people from getting concealed carry permits based on any other reason related to alcohol abuse?,MO,1991,All,N/A,,
Does state law disqualify people from getting concealed carry permits based on any other reason related to alcohol abuse?,MS,1991,All,Yes,Miss. Code § 45-9-101(2)(f),
Does state law disqualify people from getting concealed carry permits based on any other reason related to alcohol abuse?,WI,1991,All,N/A,,
Does state law disqualify people from getting concealed carry permits based on any other reason related to alcohol abuse?,IL,1991,All,N/A,,
