question,state,year,applies to,response,citations,cautions
Does state law prohibit firearm possession by people who are found to be a danger to themselves or others?,AK,1991,Handgun possession,0,,
Does state law prohibit firearm possession by people who are found to be a danger to themselves or others?,AK,1992,Handgun possession,0,,
Does state law prohibit firearm possession by people who are found to be a danger to themselves or others?,AK,1993,Handgun possession,0,,
Does state law prohibit firearm possession by people who are found to be a danger to themselves or others?,AK,1994,Handgun possession,0,,
Does state law prohibit firearm possession by people who are found to be a danger to themselves or others?,AK,1995,Handgun possession,0,,
Does state law prohibit firearm possession by people who are found to be a danger to themselves or others?,AK,1996,Handgun possession,0,,
Does state law prohibit firearm possession by people who are found to be a danger to themselves or others?,AK,1997,Handgun possession,0,,
Does state law prohibit firearm possession by people who are found to be a danger to themselves or others?,AK,1998,Handgun possession,0,,
Does state law prohibit firearm possession by people who are found to be a danger to themselves or others?,AK,1999,Handgun possession,0,,
Does state law prohibit firearm possession by people who are found to be a danger to themselves or others?,AK,2000,Handgun possession,0,,
Does state law prohibit firearm possession by people who are found to be a danger to themselves or others?,AK,2001,Handgun possession,0,,
Does state law prohibit firearm possession by people who are found to be a danger to themselves or others?,AK,2002,Handgun possession,0,,
Does state law prohibit firearm possession by people who are found to be a danger to themselves or others?,AK,2003,Handgun possession,0,,
Does state law prohibit firearm possession by people who are found to be a danger to themselves or others?,AK,2004,Handgun possession,0,,
Does state law prohibit firearm possession by people who are found to be a danger to themselves or others?,AK,2005,Handgun possession,0,,
Does state law prohibit firearm possession by people who are found to be a danger to themselves or others?,AK,2006,Handgun possession,0,,
Does state law prohibit firearm possession by people who are found to be a danger to themselves or others?,AK,2007,Handgun possession,0,,
Does state law prohibit firearm possession by people who are found to be a danger to themselves or others?,AK,2008,Handgun possession,0,,
Does state law prohibit firearm possession by people who are found to be a danger to themselves or others?,AK,2009,Handgun possession,0,,
Does state law prohibit firearm possession by people who are found to be a danger to themselves or others?,AK,2010,Handgun possession,0,,
Does state law prohibit firearm possession by people who are found to be a danger to themselves or others?,AK,2011,Handgun possession,0,,
Does state law prohibit firearm possession by people who are found to be a danger to themselves or others?,AK,2012,Handgun possession,0,,
Does state law prohibit firearm possession by people who are found to be a danger to themselves or others?,AK,2013,Handgun possession,0,,
Does state law prohibit firearm possession by people who are found to be a danger to themselves or others?,AK,2014,Handgun possession,0,,
Does state law prohibit firearm possession by people who are found to be a danger to themselves or others?,AK,2015,Handgun possession,0,,
Does state law prohibit firearm possession by people who are found to be a danger to themselves or others?,AK,2016,Handgun possession,0,,
Does state law prohibit firearm possession by people who are found to be a danger to themselves or others?,AK,2017,Handgun possession,0,,
Does state law prohibit firearm possession by people who are found to be a danger to themselves or others?,AK,2018,Handgun possession,0,,
Does state law prohibit firearm possession by people who are found to be a danger to themselves or others?,AK,2019,Handgun possession,0,,
Does state law prohibit firearm possession by people who are found to be a danger to themselves or others?,AK,1991,Long gun possession,0,,
Does state law prohibit firearm possession by people who are found to be a danger to themselves or others?,AK,1992,Long gun possession,0,,
