question,state,year,applies to,response,citations,cautions
Does the state have a minimum age requirement for possessing a handgun?,HI,1991,All,0,,
Does the state have a minimum age requirement for possessing a handgun?,AK,1991,All,1,Alaska Stat. § 11.61.220(a)(3),An unemancipated minor under the age of 16 is prohibited from possessing a firearm without the consent of the parent or guardian of the minor.
Does the state have a minimum age requirement for possessing a handgun?,OR,1991,All,1,Or. Rev. Stat. § 166.250,
Does the state have a minimum age requirement for possessing a handgun?,WA,1991,All,0,,
Does the state have a minimum age requirement for possessing a handgun?,CA,1991,All,1,Cal. Penal Code § 12101(a),
Does the state have a minimum age requirement for possessing a handgun?,NV,1991,All,1,Nev. Rev. Stat. § 202.300(1),
Does the state have a minimum age requirement for possessing a handgun?,ID,1991,All,0,,
Does the state have a minimum age requirement for possessing a handgun?,UT,1991,All,1,Utah Code § 76-10-509,
Does the state have a minimum age requirement for possessing a handgun?,AZ,1991,All,0,,
Does the state have a minimum age requirement for possessing a handgun?,MT,1991,All,0,,"Montana law prohibits a parent or guardian from allowing a child under 14 years to carry or use any firearms in public, subject to limited exceptions.  Mont. Code § 45-8-344."
Does the state have a minimum age requirement for possessing a handgun?,WY,1991,All,0,,
Does the state have a minimum age requirement for possessing a handgun?,NM,1991,All,0,,
Does the state have a minimum age requirement for possessing a handgun?,CO,1991,All,0,,
Does the state have a minimum age requirement for possessing a handgun?,ND,1991,All,1,N.D. Cent. Code § 62.1-02-01,
Does the state have a minimum age requirement for possessing a handgun?,SD,1991,All,0,,
Does the state have a minimum age requirement for possessing a handgun?,NE,1991,All,1,Neb. Rev. Stat. § 28-1204,
Does the state have a minimum age requirement for possessing a handgun?,TX,1991,All,0,,
Does the state have a minimum age requirement for possessing a handgun?,KS,1991,All,0,,
Does the state have a minimum age requirement for possessing a handgun?,OK,1991,All,0,,
Does the state have a minimum age requirement for possessing a handgun?,MN,1991,All,1,Minn. Stat. § 624.713(1),
Does the state have a minimum age requirement for possessing a handgun?,IA,1991,All,0,,"State law bars transfers to people under 21, but there is no possession prohibition. Iowa Code § 724.22."
Does the state have a minimum age requirement for possessing a handgun?,LA,1991,All,0,,
Does the state have a minimum age requirement for possessing a handgun?,AR,1991,All,1,Ark. Code § 5-73-119,
Does the state have a minimum age requirement for possessing a handgun?,MO,1991,All,0,,
