question,state,year,applies to,response,citations,cautions
Does the state have a minimum age requirement for purchasing a handgun from a federally licensed dealer?,HI,1991,All,1,Haw. Rev. Stat. § 134-2(d),
Does the state have a minimum age requirement for purchasing a handgun from a federally licensed dealer?,AK,1991,All,1,Alaska Stat. § 11.61.220(a)(3),
Does the state have a minimum age requirement for purchasing a handgun from a federally licensed dealer?,OR,1991,All,1,Or. Rev. Stat. § 166.470,
Does the state have a minimum age requirement for purchasing a handgun from a federally licensed dealer?,WA,1991,All,0,,
Does the state have a minimum age requirement for purchasing a handgun from a federally licensed dealer?,CA,1991,All,1,Cal. Penal Code § 12072,
Does the state have a minimum age requirement for purchasing a handgun from a federally licensed dealer?,NV,1991,All,1,Nev. Rev. Stat. § 202.310(1),
Does the state have a minimum age requirement for purchasing a handgun from a federally licensed dealer?,ID,1991,All,1,Idaho Code § 18-3302A,
Does the state have a minimum age requirement for purchasing a handgun from a federally licensed dealer?,UT,1991,All,1,Utah Code § 76-10-509,
Does the state have a minimum age requirement for purchasing a handgun from a federally licensed dealer?,AZ,1991,All,1,Ariz. Rev. Stat. § 13-3109(A),
Does the state have a minimum age requirement for purchasing a handgun from a federally licensed dealer?,MT,1991,All,0,,
Does the state have a minimum age requirement for purchasing a handgun from a federally licensed dealer?,WY,1991,All,0,,
Does the state have a minimum age requirement for purchasing a handgun from a federally licensed dealer?,NM,1991,All,0,,
Does the state have a minimum age requirement for purchasing a handgun from a federally licensed dealer?,CO,1991,All,0,,
Does the state have a minimum age requirement for purchasing a handgun from a federally licensed dealer?,ND,1991,All,1,N.D. Cent. Code § 62.1-03-02,
Does the state have a minimum age requirement for purchasing a handgun from a federally licensed dealer?,SD,1991,All,0,,
Does the state have a minimum age requirement for purchasing a handgun from a federally licensed dealer?,NE,1991,All,1,Neb. Rev. Stat. § 69-2403,
Does the state have a minimum age requirement for purchasing a handgun from a federally licensed dealer?,TX,1991,All,1,Tex. Penal Code § 46.07(a)(2),
Does the state have a minimum age requirement for purchasing a handgun from a federally licensed dealer?,KS,1991,All,0,,
Does the state have a minimum age requirement for purchasing a handgun from a federally licensed dealer?,OK,1991,All,1,"Okla. Stat. tit. 21, § 1273",
Does the state have a minimum age requirement for purchasing a handgun from a federally licensed dealer?,MN,1991,All,0,,
Does the state have a minimum age requirement for purchasing a handgun from a federally licensed dealer?,IA,1991,All,1,Iowa Code § 724.15(1)(a),
Does the state have a minimum age requirement for purchasing a handgun from a federally licensed dealer?,LA,1991,All,1,La. Rev. Stat. § 14:91(A),
