question,state,year,applies to,response,citations,cautions
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,HI,1991,All,Yes,Haw. Rev. Stat. § 134-7; Haw. Rev. Stat. § 134-9; Haw. Rev. Stat. § 134-1,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,AK,1991,All,N/A,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,OR,1991,All,Yes,Or. Rev. Stat. § 166.291,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,WA,1991,All,No,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,CA,1991,All,Yes,Cal. Penal Code § 12021(c),
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,NV,1991,All,No,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,ID,1991,All,No,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,UT,1991,All,No,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,AZ,1991,All,N/A,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,MT,1991,All,No,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,WY,1991,All,No,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,NM,1991,All,N/A,,"The carrying of a concealed loaded firearm was prohibited in public, except by peace officers, until July 1, 2001. Concealed handgun permit holders were allowed to carry concealed handguns in public starting July 1, 2001, but the Department of Public Safety was not authorized to begin issuing permits until January 1, 2004."
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,CO,1991,All,No,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,ND,1991,All,No,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,SD,1991,All,No,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,NE,1991,All,N/A,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,TX,1991,All,N/A,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,KS,1991,All,N/A,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,OK,1991,All,N/A,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,MN,1991,All,No,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,IA,1991,All,No,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,LA,1991,All,No,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,AR,1991,All,N/A,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,MO,1991,All,N/A,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,MS,1991,All,No,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,WI,1991,All,N/A,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,IL,1991,All,N/A,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,AL,1991,All,No,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,TN,1991,All,No,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,IN,1991,All,No,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,KY,1991,All,N/A,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,MI,1991,All,No,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,GA,1991,All,No,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,OH,1991,All,N/A,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,FL,1991,All,No,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,WV,1991,All,No,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,SC,1991,All,No,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,NC,1991,All,N/A,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,PA,1991,All,No,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,VA,1991,All,No,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,MD,1991,All,No,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,DC,1991,All,Yes,D.C. Code § 6-2313(a)(4),
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,NY,1991,All,Yes,N.Y. Penal Law § 400.00(1); N.Y. Penal Law § 265.00,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,DE,1991,All,No,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,NJ,1991,All,No,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,CT,1991,All,No,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,VT,1991,All,No,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,NH,1991,All,No,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,MA,1991,All,No,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,RI,1991,All,No,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,ME,1991,All,No,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,HI,1992,All,Yes,Haw. Rev. Stat. § 134-7; Haw. Rev. Stat. § 134-9; Haw. Rev. Stat. § 134-1,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,AK,1992,All,N/A,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,OR,1992,All,Yes,Or. Rev. Stat. § 166.291,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,WA,1992,All,No,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,CA,1992,All,Yes,Cal. Penal Code § 12021(c),
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,NV,1992,All,No,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,ID,1992,All,No,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,UT,1992,All,No,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,AZ,1992,All,N/A,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,MT,1992,All,No,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,WY,1992,All,No,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,NM,1992,All,N/A,,"The carrying of a concealed loaded firearm was prohibited in public, except by peace officers, until July 1, 2001. Concealed handgun permit holders were allowed to carry concealed handguns in public starting July 1, 2001, but the Department of Public Safety was not authorized to begin issuing permits until January 1, 2004."
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,CO,1992,All,No,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,ND,1992,All,No,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,SD,1992,All,No,,
Does state law disqualify people with convictions for abusing their boyfriends and girlfriends from carrying concealed guns in public?,NE,1992,All,N/A,,
