question,state,year,applies to,response,citations,cautions
Does state law prohibit people from having firearms because they are found incapable of managing their affairs due to mental illness?,AL,2014,Handgun possession,0,,
Does state law prohibit people from having firearms because they are found incapable of managing their affairs due to mental illness?,AL,2014,Long gun possession,0,,
Does state law prohibit people from having firearms because they are found incapable of managing their affairs due to mental illness?,AK,2019,Handgun possession,0,,
Does state law prohibit people from having firearms because they are found incapable of managing their affairs due to mental illness?,AK,2019,Long gun possession,0,,
Does state law prohibit people from having firearms because they are found incapable of managing their affairs due to mental illness?,AZ,1991,All,0,,
Does state law prohibit people from having firearms because they are found incapable of managing their affairs due to mental illness?,AR,1991,All,0,,
Does state law prohibit people from having firearms because they are found incapable of managing their affairs due to mental illness?,CA,1991,All,1,Cal. Wel. & Inst. Code § 8103,
Does state law prohibit people from having firearms because they are found incapable of managing their affairs due to mental illness?,CO,1991,All,0,,
Does state law prohibit people from having firearms because they are found incapable of managing their affairs due to mental illness?,CT,1997,Handgun possession,0,,
Does state law prohibit people from having firearms because they are found incapable of managing their affairs due to mental illness?,CT,2004,Long gun possession,0,,
Does state law prohibit people from having firearms because they are found incapable of managing their affairs due to mental illness?,DE,1991,All,0,,
Does state law prohibit people from having firearms because they are found incapable of managing their affairs due to mental illness?,FL,1991,All,0,,
Does state law prohibit people from having firearms because they are found incapable of managing their affairs due to mental illness?,GA,1991,All,0,,
Does state law prohibit people from having firearms because they are found incapable of managing their affairs due to mental illness?,HI,1997,Possession,0,,
Does state law prohibit people from having firearms because they are found incapable of managing their affairs due to mental illness?,HI,1997,Purchase,0,,
Does state law prohibit people from having firearms because they are found incapable of managing their affairs due to mental illness?,ID,1991,All,0,,
Does state law prohibit people from having firearms because they are found incapable of managing their affairs due to mental illness?,IL,1991,All,0,,
Does state law prohibit people from having firearms because they are found incapable of managing their affairs due to mental illness?,IN,1991,All,0,,
Does state law prohibit people from having firearms because they are found incapable of managing their affairs due to mental illness?,IA,2010,Handgun purchase,0,,
Does state law prohibit people from having firearms because they are found incapable of managing their affairs due to mental illness?,IA,2019,Possession,0,,
Does state law prohibit people from having firearms because they are found incapable of managing their affairs due to mental illness?,KS,1991,All,0,,
Does state law prohibit people from having firearms because they are found incapable of managing their affairs due to mental illness?,KY,1991,All,0,,
Does state law prohibit people from having firearms because they are found incapable of managing their affairs due to mental illness?,LA,1991,All,0,,
Does state law prohibit people from having firearms because they are found incapable of managing their affairs due to mental illness?,ME,1991,All,0,,
Does state law prohibit people from having firearms because they are found incapable of managing their affairs due to mental illness?,MD,2019,Handgun possession,0,,
Does state law prohibit people from having firearms because they are found incapable of managing their affairs due to mental illness?,MD,2019,Long gun possession,0,,
Does state law prohibit people from having firearms because they are found incapable of managing their affairs due to mental illness?,MA,1997,Handgun possession,0,,
Does state law prohibit people from having firearms because they are found incapable of managing their affairs due to mental illness?,MA,1997,Long gun possession,0,,
Does state law prohibit people from having firearms because they are found incapable of managing their affairs due to mental illness?,MI,1995,Handgun purchase,0,,
Does state law prohibit people from having firearms because they are found incapable of managing their affairs due to mental illness?,MI,2019,Possession,0,,
Does state law prohibit people from having firearms because they are found incapable of managing their affairs due to mental illness?,MN,2019,Handgun possession,0,,
Does state law prohibit people from having firearms because they are found incapable of managing their affairs due to mental illness?,MN,2019,Long gun possession,0,,
Does state law prohibit people from having firearms because they are found incapable of managing their affairs due to mental illness?,MS,1991,All,0,,
Does state law prohibit people from having firearms because they are found incapable of managing their affairs due to mental illness?,MO,1991,All,0,,
Does state law prohibit people from having firearms because they are found incapable of managing their affairs due to mental illness?,MT,1991,All,0,,
Does state law prohibit people from having firearms because they are found incapable of managing their affairs due to mental illness?,NE,2019,Handgun purchase,1,,
Does state law prohibit people from having firearms because they are found incapable of managing their affairs due to mental illness?,NE,2019,Possession,0,,
Does state law prohibit people from having firearms because they are found incapable of managing their affairs due to mental illness?,NV,1991,All,0,,
Does state law prohibit people from having firearms because they are found incapable of managing their affairs due to mental illness?,NH,1991,All,0,,
Does state law prohibit people from having firearms because they are found incapable of managing their affairs due to mental illness?,NJ,1997,Possession,0,,
Does state law prohibit people from having firearms because they are found incapable of managing their affairs due to mental illness?,NJ,1997,Purchase,0,,
Does state law prohibit people from having firearms because they are found incapable of managing their affairs due to mental illness?,NM,1991,All,0,,
Does state law prohibit people from having firearms because they are found incapable of managing their affairs due to mental illness?,NY,1997,Handgun possession,0,,
