question,state,year,applies to,response,citations,cautions
Does state law prohibit fugitives from having firearms?,HI,2019,Possession,1,,
Does state law prohibit fugitives from having firearms?,HI,2019,Purchase,1,,
Does state law prohibit fugitives from having firearms?,AK,1991,All,0,,
Does state law prohibit fugitives from having firearms?,OR,1991,All,0,,A person is prohibited from transferring a handgun to a transferee who has any outstanding felony warrants for arrest. Or. Rev. Stat. § 166.470(1).
Does state law prohibit fugitives from having firearms?,WA,1991,All,0,,
Does state law prohibit fugitives from having firearms?,CA,1991,All,0,,
Does state law prohibit fugitives from having firearms?,NV,1991,All,0,,
Does state law prohibit fugitives from having firearms?,ID,1991,All,0,,
Does state law prohibit fugitives from having firearms?,UT,1991,All,0,,
Does state law prohibit fugitives from having firearms?,AZ,1991,All,0,,
Does state law prohibit fugitives from having firearms?,MT,1991,All,0,,
Does state law prohibit fugitives from having firearms?,WY,1991,All,0,,
Does state law prohibit fugitives from having firearms?,NM,1991,All,0,,
Does state law prohibit fugitives from having firearms?,CO,1991,All,0,,
Does state law prohibit fugitives from having firearms?,ND,1991,All,0,,
Does state law prohibit fugitives from having firearms?,SD,1991,All,0,,
Does state law prohibit fugitives from having firearms?,NE,2019,Handgun purchase,1,,
Does state law prohibit fugitives from having firearms?,NE,2019,Possession,1,,
Does state law prohibit fugitives from having firearms?,TX,1991,All,0,,
Does state law prohibit fugitives from having firearms?,KS,1991,All,0,,
Does state law prohibit fugitives from having firearms?,OK,1991,All,0,,
Does state law prohibit fugitives from having firearms?,MN,1991,All,0,,
Does state law prohibit fugitives from having firearms?,IA,2010,Handgun purchase,0,,
Does state law prohibit fugitives from having firearms?,IA,2019,Possession,0,,
Does state law prohibit fugitives from having firearms?,LA,1991,All,0,,
Does state law prohibit fugitives from having firearms?,AR,1991,All,0,,
Does state law prohibit fugitives from having firearms?,MO,1991,All,1,Mo. Rev. Stat. § 571.070(1)(2),
Does state law prohibit fugitives from having firearms?,MS,1991,All,0,,
Does state law prohibit fugitives from having firearms?,WI,1991,All,0,,
Does state law prohibit fugitives from having firearms?,IL,1991,All,0,,
Does state law prohibit fugitives from having firearms?,AL,2019,Handgun possession,0,,
Does state law prohibit fugitives from having firearms?,AL,2019,Long gun possession,0,,
Does state law prohibit fugitives from having firearms?,TN,1991,All,0,,
Does state law prohibit fugitives from having firearms?,IN,1991,All,0,,
Does state law prohibit fugitives from having firearms?,KY,1991,All,0,,
Does state law prohibit fugitives from having firearms?,MI,2004,Handgun purchase,0,,
Does state law prohibit fugitives from having firearms?,MI,2004,Possession,0,,
Does state law prohibit fugitives from having firearms?,GA,1991,All,0,,
Does state law prohibit fugitives from having firearms?,OH,1991,All,1,Ohio Rev. Code § 2923.13(A)(1),
Does state law prohibit fugitives from having firearms?,FL,1991,All,0,,
Does state law prohibit fugitives from having firearms?,WV,1991,All,0,,
Does state law prohibit fugitives from having firearms?,SC,2003,Handgun possession,1,,
Does state law prohibit fugitives from having firearms?,SC,2019,Long gun possession,0,,
Does state law prohibit fugitives from having firearms?,NC,1994,Handgun purchase,1,,
Does state law prohibit fugitives from having firearms?,NC,2019,Possession,0,,
Does state law prohibit fugitives from having firearms?,PA,1994,Handgun possession,0,,
Does state law prohibit fugitives from having firearms?,PA,1994,Long gun possession,0,,
Does state law prohibit fugitives from having firearms?,VA,1991,All,0,,
Does state law prohibit fugitives from having firearms?,MD,2002,Handgun possession,1,,
Does state law prohibit fugitives from having firearms?,MD,2012,Long gun possession,0,,
Does state law prohibit fugitives from having firearms?,DC,1991,All,0,,
Does state law prohibit fugitives from having firearms?,NY,1997,Handgun possession,0,,
Does state law prohibit fugitives from having firearms?,NY,2019,Long gun possession,0,,
Does state law prohibit fugitives from having firearms?,DE,1991,All,0,,
Does state law prohibit fugitives from having firearms?,NJ,1997,Possession,0,,
Does state law prohibit fugitives from having firearms?,NJ,1997,Purchase,0,,
Does state law prohibit fugitives from having firearms?,CT,1997,Handgun possession,0,,
Does state law prohibit fugitives from having firearms?,CT,2019,Long gun possession,0,,
Does state law prohibit fugitives from having firearms?,VT,1991,All,0,,
Does state law prohibit fugitives from having firearms?,NH,1991,All,0,,
Does state law prohibit fugitives from having firearms?,MA,1997,Handgun possession,0,,
Does state law prohibit fugitives from having firearms?,MA,1997,Long gun possession,0,,
Does state law prohibit fugitives from having firearms?,RI,1991,All,1,R.I. Gen. Laws § 11-47-5,
Does state law prohibit fugitives from having firearms?,ME,1991,All,0,,
Does state law prohibit fugitives from having firearms?,HI,2019,Possession,1,,
Does state law prohibit fugitives from having firearms?,HI,2019,Purchase,1,,
Does state law prohibit fugitives from having firearms?,AK,1992,All,0,,
Does state law prohibit fugitives from having firearms?,OR,1992,All,0,,A person is prohibited from transferring a handgun to a transferee who has any outstanding felony warrants for arrest. Or. Rev. Stat. § 166.470(1).
Does state law prohibit fugitives from having firearms?,WA,1992,All,0,,
Does state law prohibit fugitives from having firearms?,CA,1992,All,0,,
Does state law prohibit fugitives from having firearms?,NV,1992,All,0,,
Does state law prohibit fugitives from having firearms?,ID,1992,All,0,,
Does state law prohibit fugitives from having firearms?,UT,1992,All,0,,
Does state law prohibit fugitives from having firearms?,AZ,1992,All,0,,
Does state law prohibit fugitives from having firearms?,MT,1992,All,0,,
Does state law prohibit fugitives from having firearms?,WY,1992,All,0,,
Does state law prohibit fugitives from having firearms?,NM,1992,All,0,,
Does state law prohibit fugitives from having firearms?,CO,1992,All,0,,
Does state law prohibit fugitives from having firearms?,ND,1992,All,0,,
Does state law prohibit fugitives from having firearms?,SD,1992,All,0,,
Does state law prohibit fugitives from having firearms?,NE,2019,Handgun purchase,1,,
Does state law prohibit fugitives from having firearms?,NE,2019,Possession,1,,
Does state law prohibit fugitives from having firearms?,TX,1992,All,0,,
Does state law prohibit fugitives from having firearms?,KS,1992,All,0,,
Does state law prohibit fugitives from having firearms?,OK,1992,All,0,,
Does state law prohibit fugitives from having firearms?,MN,1992,All,0,,
Does state law prohibit fugitives from having firearms?,IA,2010,Handgun purchase,0,,
Does state law prohibit fugitives from having firearms?,IA,2019,Possession,0,,
Does state law prohibit fugitives from having firearms?,LA,1992,All,0,,
Does state law prohibit fugitives from having firearms?,AR,1992,All,0,,
Does state law prohibit fugitives from having firearms?,MO,1992,All,1,Mo. Rev. Stat. § 571.070(1)(2),
Does state law prohibit fugitives from having firearms?,MS,1992,All,0,,
Does state law prohibit fugitives from having firearms?,WI,1992,All,0,,
Does state law prohibit fugitives from having firearms?,IL,1992,All,0,,
Does state law prohibit fugitives from having firearms?,AL,2019,Handgun possession,0,,
Does state law prohibit fugitives from having firearms?,AL,2019,Long gun possession,0,,
Does state law prohibit fugitives from having firearms?,TN,1992,All,0,,
Does state law prohibit fugitives from having firearms?,IN,1992,All,0,,
Does state law prohibit fugitives from having firearms?,KY,1992,All,0,,
Does state law prohibit fugitives from having firearms?,MI,2004,Handgun purchase,0,,
Does state law prohibit fugitives from having firearms?,MI,2004,Possession,0,,
Does state law prohibit fugitives from having firearms?,GA,1992,All,0,,
Does state law prohibit fugitives from having firearms?,OH,1992,All,1,Ohio Rev. Code § 2923.13(A)(1),
Does state law prohibit fugitives from having firearms?,FL,1992,All,0,,
Does state law prohibit fugitives from having firearms?,WV,1992,All,0,,
Does state law prohibit fugitives from having firearms?,SC,2003,Handgun possession,1,,
Does state law prohibit fugitives from having firearms?,SC,2019,Long gun possession,0,,
Does state law prohibit fugitives from having firearms?,NC,1994,Handgun purchase,1,,
Does state law prohibit fugitives from having firearms?,NC,2019,Possession,0,,
Does state law prohibit fugitives from having firearms?,PA,1994,Handgun possession,0,,
Does state law prohibit fugitives from having firearms?,PA,1994,Long gun possession,0,,
Does state law prohibit fugitives from having firearms?,VA,1992,All,0,,
Does state law prohibit fugitives from having firearms?,MD,2002,Handgun possession,1,,
Does state law prohibit fugitives from having firearms?,MD,2012,Long gun possession,0,,
Does state law prohibit fugitives from having firearms?,DC,1992,All,0,,
Does state law prohibit fugitives from having firearms?,NY,1997,Handgun possession,0,,
Does state law prohibit fugitives from having firearms?,NY,2019,Long gun possession,0,,
Does state law prohibit fugitives from having firearms?,DE,1992,All,0,,
Does state law prohibit fugitives from having firearms?,NJ,1997,Possession,0,,
Does state law prohibit fugitives from having firearms?,NJ,1997,Purchase,0,,
