question,state,year,applies to,response,citations,cautions
"Does state law empower immediate family members or law enforcement to petition a court for temporary removal of guns from a person who poses a danger to self or others (sometimes called an ""extreme risk protection order"")?",HI,1991,All,No,,
"Does state law empower immediate family members or law enforcement to petition a court for temporary removal of guns from a person who poses a danger to self or others (sometimes called an ""extreme risk protection order"")?",AK,1991,All,No,,
"Does state law empower immediate family members or law enforcement to petition a court for temporary removal of guns from a person who poses a danger to self or others (sometimes called an ""extreme risk protection order"")?",OR,1991,All,No,,
"Does state law empower immediate family members or law enforcement to petition a court for temporary removal of guns from a person who poses a danger to self or others (sometimes called an ""extreme risk protection order"")?",WA,1991,All,No,,
"Does state law empower immediate family members or law enforcement to petition a court for temporary removal of guns from a person who poses a danger to self or others (sometimes called an ""extreme risk protection order"")?",CA,1991,All,No,,
"Does state law empower immediate family members or law enforcement to petition a court for temporary removal of guns from a person who poses a danger to self or others (sometimes called an ""extreme risk protection order"")?",NV,1991,All,No,,
"Does state law empower immediate family members or law enforcement to petition a court for temporary removal of guns from a person who poses a danger to self or others (sometimes called an ""extreme risk protection order"")?",ID,1991,All,No,,
"Does state law empower immediate family members or law enforcement to petition a court for temporary removal of guns from a person who poses a danger to self or others (sometimes called an ""extreme risk protection order"")?",UT,1991,All,No,,
"Does state law empower immediate family members or law enforcement to petition a court for temporary removal of guns from a person who poses a danger to self or others (sometimes called an ""extreme risk protection order"")?",AZ,1991,All,No,,
"Does state law empower immediate family members or law enforcement to petition a court for temporary removal of guns from a person who poses a danger to self or others (sometimes called an ""extreme risk protection order"")?",MT,1991,All,No,,
"Does state law empower immediate family members or law enforcement to petition a court for temporary removal of guns from a person who poses a danger to self or others (sometimes called an ""extreme risk protection order"")?",WY,1991,All,No,,
"Does state law empower immediate family members or law enforcement to petition a court for temporary removal of guns from a person who poses a danger to self or others (sometimes called an ""extreme risk protection order"")?",NM,1991,All,No,,
"Does state law empower immediate family members or law enforcement to petition a court for temporary removal of guns from a person who poses a danger to self or others (sometimes called an ""extreme risk protection order"")?",CO,1991,All,No,,
"Does state law empower immediate family members or law enforcement to petition a court for temporary removal of guns from a person who poses a danger to self or others (sometimes called an ""extreme risk protection order"")?",ND,1991,All,No,,
"Does state law empower immediate family members or law enforcement to petition a court for temporary removal of guns from a person who poses a danger to self or others (sometimes called an ""extreme risk protection order"")?",SD,1991,All,No,,
"Does state law empower immediate family members or law enforcement to petition a court for temporary removal of guns from a person who poses a danger to self or others (sometimes called an ""extreme risk protection order"")?",NE,1991,All,No,,
"Does state law empower immediate family members or law enforcement to petition a court for temporary removal of guns from a person who poses a danger to self or others (sometimes called an ""extreme risk protection order"")?",TX,1991,All,No,,
"Does state law empower immediate family members or law enforcement to petition a court for temporary removal of guns from a person who poses a danger to self or others (sometimes called an ""extreme risk protection order"")?",KS,1991,All,No,,
"Does state law empower immediate family members or law enforcement to petition a court for temporary removal of guns from a person who poses a danger to self or others (sometimes called an ""extreme risk protection order"")?",OK,1991,All,No,,
"Does state law empower immediate family members or law enforcement to petition a court for temporary removal of guns from a person who poses a danger to self or others (sometimes called an ""extreme risk protection order"")?",MN,1991,All,No,,
