question,state,year,applies to,response,citations,cautions
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AK,1991,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AK,1992,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AK,1993,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AK,1994,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AK,1995,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AK,1996,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AK,1997,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AK,1998,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AK,1999,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AK,2000,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AK,2001,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AK,2002,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AK,2003,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AK,2004,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AK,2005,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AK,2006,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AK,2007,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AK,2008,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AK,2009,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AK,2010,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AK,2011,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AK,2012,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AK,2013,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AK,2014,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AK,2015,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AK,2016,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AK,2017,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AK,2018,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AK,2019,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,1991,Handgun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,1992,Handgun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,1993,Handgun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,1994,Handgun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,1995,Handgun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,1996,Handgun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,1997,Handgun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,1998,Handgun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,1999,Handgun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,2000,Handgun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,2001,Handgun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,2002,Handgun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,2003,Handgun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,2004,Handgun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,2005,Handgun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,2006,Handgun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,2007,Handgun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,2008,Handgun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,2009,Handgun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,2010,Handgun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,2011,Handgun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,2012,Handgun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,2013,Handgun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,2014,Handgun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,2015,Handgun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,2016,Handgun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,2017,Handgun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,2018,Handgun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,2019,Handgun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,1991,Long gun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,1992,Long gun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,1993,Long gun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,1994,Long gun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,1995,Long gun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,1996,Long gun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,1997,Long gun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,1998,Long gun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,1999,Long gun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,2000,Long gun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,2001,Long gun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,2002,Long gun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,2003,Long gun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,2004,Long gun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,2005,Long gun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,2006,Long gun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,2007,Long gun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,2008,Long gun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,2009,Long gun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,2010,Long gun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,2011,Long gun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,2012,Long gun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,2013,Long gun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,2014,Long gun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,2015,Long gun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,2016,Long gun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,2017,Long gun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,2018,Long gun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AL,2019,Long gun possession,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AR,1991,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AR,1992,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AR,1993,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AR,1994,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AR,1995,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AR,1996,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AR,1997,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AR,1998,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AR,1999,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AR,2000,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AR,2001,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AR,2002,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AR,2003,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AR,2004,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AR,2005,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AR,2006,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AR,2007,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AR,2008,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AR,2009,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AR,2010,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AR,2011,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AR,2012,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AR,2013,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AR,2014,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AR,2015,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AR,2016,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AR,2017,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AR,2018,All,0,,
Does state law prohibit people from having firearms based on certain types of discharge from the United States military?,AR,2019,All,0,,
