question,state,year,applies to,response,citations,cautions
Does law enforcement otherwise have the authority to prohibit a person from carrying a concealed gun at their discretion?,HI,1991,All,Yes,Haw. Rev. Stat. § 134-9(a),
Does law enforcement otherwise have the authority to prohibit a person from carrying a concealed gun at their discretion?,AK,1991,All,N/A,,
Does law enforcement otherwise have the authority to prohibit a person from carrying a concealed gun at their discretion?,OR,1991,All,No,,
Does law enforcement otherwise have the authority to prohibit a person from carrying a concealed gun at their discretion?,WA,1991,All,No,,
Does law enforcement otherwise have the authority to prohibit a person from carrying a concealed gun at their discretion?,CA,1991,All,Yes,Cal. Penal Code § 12050(a),
Does law enforcement otherwise have the authority to prohibit a person from carrying a concealed gun at their discretion?,NV,1991,All,Yes,Nev. Rev. Stat. § 202.350(4),
Does law enforcement otherwise have the authority to prohibit a person from carrying a concealed gun at their discretion?,ID,1991,All,No,,
Does law enforcement otherwise have the authority to prohibit a person from carrying a concealed gun at their discretion?,UT,1991,All,No,,
Does law enforcement otherwise have the authority to prohibit a person from carrying a concealed gun at their discretion?,AZ,1991,All,N/A,,
Does law enforcement otherwise have the authority to prohibit a person from carrying a concealed gun at their discretion?,MT,1991,All,No,,
Does law enforcement otherwise have the authority to prohibit a person from carrying a concealed gun at their discretion?,WY,1991,All,Yes,Wyo. Stat. § 6-8-104,"A county sheriff may issue permits to travelers, merchant police, private detectives or other persons whose work, vocation or profession requires them to carry a weapon and who the sheriff believes are qualified, taking into account the person's general reputation and previous criminal record."
Does law enforcement otherwise have the authority to prohibit a person from carrying a concealed gun at their discretion?,NM,1991,All,N/A,,"The carrying of a concealed loaded firearm was prohibited in public, except by peace officers, until July 1, 2001. Concealed handgun permit holders were allowed to carry concealed handguns in public starting July 1, 2001, but the Department of Public Safety was not authorized to begin issuing permits until January 1, 2004."
Does law enforcement otherwise have the authority to prohibit a person from carrying a concealed gun at their discretion?,CO,1991,All,Yes,Colo. Rev. Stat. § 18-12-105.1,
Does law enforcement otherwise have the authority to prohibit a person from carrying a concealed gun at their discretion?,ND,1991,All,No,,
