State-Year,State,Year,background_checks_q2_neighbors,criminals_q2_neighbors,criminals_q3_neighbors,criminals_q4_neighbors,criminals_q5_neighbors,criminals_q7_neighbors,criminals_q8_neighbors,criminals_q9_neighbors,domestic_violence_q1_neighbors,domestic_violence_q2_neighbors,domestic_violence_q4_neighbors,domestic_violence_q5_neighbors,domestic_violence_q7_neighbors,domestic_violence_q9_neighbors,domestic_violence_q11_neighbors,domestic_violence_q12_neighbors,domestic_violence_q13_neighbors,domestic_violence_q14_neighbors,domestic_violence_q15_neighbors,domestic_violence_q16_neighbors,domestic_violence_q17_neighbors,drugs_and_alcohol_q1_neighbors,drugs_and_alcohol_q2_neighbors,drugs_and_alcohol_q3_neighbors,drugs_and_alcohol_q4_neighbors,drugs_and_alcohol_q7_neighbors,drugs_and_alcohol_q8_neighbors,drugs_and_alcohol_q9_neighbors,drugs_and_alcohol_q10_neighbors,drugs_and_alcohol_q11_neighbors,drugs_and_alcohol_q12_neighbors,mental_illness_q1_neighbors,mental_illness_q2_neighbors,mental_illness_q3_neighbors,mental_illness_q4_neighbors,mental_illness_q5_neighbors,mental_illness_q6_neighbors,mental_illness_q7_neighbors,mental_illness_q8_neighbors,mental_illness_q9_neighbors,mental_illness_q10_neighbors,mental_illness_q11_neighbors,mental_illness_q12_neighbors,minimum_age_q1_neighbors,minimum_age_q2_neighbors,minimum_age_q3_neighbors,minimum_age_q4_neighbors,permitting_process_q1_neighbors,permitting_process_q2_neighbors,permitting_process_q3_neighbors,permitting_process_q5_neighbors,permitting_process_q6_neighbors,permitting_process_q7_neighbors,permitting_process_q8_neighbors,permitting_process_q9_neighbors,permitting_process_q10_neighbors,permitting_process_q12_neighbors,permitting_process_q13_neighbors,other_q1_neighbors,other_q2_neighbors,other_q3_neighbors,other_q4_neighbors,other_q5_neighbors,other_q6_neighbors,other_q7_neighbors,other_q8_neighbors,other_q9_neighbors
Alabama 1991,Alabama,1991,0.0,6.25,0.0,0.0,0.0,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,4.0,2.0,1.0,1.0,0.0,4.0,4.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Alaska 1991,Alaska,1991,0.0,2.0,0.0,0.0,0.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0
Arizona 1991,Arizona,1991,0.4,6.4,0.0,0.8,0.0,2.4,4.8,0.2,0.8,0.0,0.4,0.0,0.8,0.0,0.0,1.6,0.8,0.8,1.6,0.0,0.8,0.0,0.0,0.8,0.0,1.6,0.8,0.8,1.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.0,0.8,1.6,0.8,0.0,2.4,2.4,1.6,2.4,0.8,4.0,0.8,2.4,3.2,3.2,1.6,2.4,0.8,2.8,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.4
Arkansas 1991,Arkansas,1991,0.16666666666666666,4.833333333333333,0.0,0.0,0.0,2.0,4.666666666666667,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,2.6666666666666665,2.6666666666666665,0.6666666666666666,2.6666666666666665,2.6666666666666665,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,2.0,2.6666666666666665,0.0,0.0,3.3333333333333335,0.0,3.3333333333333335,2.0,4.0,2.6666666666666665,2.0,3.3333333333333335,2.0,2.0,2.0,0.6666666666666666,3.0,2.3333333333333335,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,2.0,1.6666666666666667
California 1991,California,1991,0.0,6.666666666666667,0.0,0.0,0.0,2.6666666666666665,5.333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,1.3333333333333333,1.3333333333333333,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,1.3333333333333333,0.0,2.6666666666666665,1.3333333333333333,0.0,2.6666666666666665,2.6666666666666665,0.0,1.3333333333333333,1.3333333333333333,0.0,1.3333333333333333,0.0,0.0,1.3333333333333333,1.3333333333333333,0.0,2.6666666666666665,4.0,2.6666666666666665,4.0,1.3333333333333333,4.0,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,1.3333333333333333,2.6666666666666665,1.3333333333333333,2.6666666666666665,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.6666666666666666
Colorado 1991,Colorado,1991,0.14285714285714285,5.285714285714286,0.14285714285714285,0.0,0.0,3.4285714285714284,6.857142857142857,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.857142857142857,2.857142857142857,2.857142857142857,2.0,0.0,0.0,0.14285714285714285,0.0,0.2857142857142857,0.0,3.4285714285714284,2.857142857142857,0.0,3.4285714285714284,2.857142857142857,0.0,0.7142857142857143,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.0,0.0,2.857142857142857,2.857142857142857,0.0,1.1428571428571428,2.2857142857142856,0.5714285714285714,1.7142857142857142,2.857142857142857,4.0,2.857142857142857,3.4285714285714284,3.4285714285714284,3.4285714285714284,0.5714285714285714,0.0,0.5714285714285714,2.5714285714285716,2.0,0.0,0.0,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,2.857142857142857,1.4285714285714286
Connecticut 1991,Connecticut,1991,1.6666666666666667,4.0,0.0,0.6666666666666666,0.0,1.3333333333333333,2.6666666666666665,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,1.0,0.0,0.0,1.3333333333333333,2.0,0.0,0.0,2.6666666666666665,2.6666666666666665,1.3333333333333333,0.0,2.6666666666666665,1.3333333333333333,2.6666666666666665,2.6666666666666665,0.3333333333333333,2.6666666666666665,2.6666666666666665,1.3333333333333333,1.3333333333333333,0.0,2.3333333333333335,2.6666666666666665,2.6666666666666665,2.6666666666666665,4.0,4.0,4.0,4.0,0.0,4.0,1.3333333333333333,4.0,4.0,4.0,2.6666666666666665,1.3333333333333333,1.3333333333333333,4.0,2.6666666666666665,0.0,0.0,1.3333333333333333,2.3333333333333335,0.0,0.0,0.0,0.0,1.3333333333333333
Delaware 1991,Delaware,1991,0.6666666666666666,2.6666666666666665,0.0,0.6666666666666666,0.0,4.0,8.0,0.6666666666666666,0.0,0.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.5,1.3333333333333333,2.6666666666666665,0.0,0.0,1.0,0.0,2.6666666666666665,0.0,4.0,0.0,0.0,4.0,2.0,2.0,0.0,1.3333333333333333,1.3333333333333333,0.0,1.3333333333333333,0.0,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.0,1.3333333333333333,4.0,1.3333333333333333,4.0,0.0,4.0,1.3333333333333333,4.0,1.3333333333333333,2.6666666666666665,4.0,1.3333333333333333,1.3333333333333333,4.0,4.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,1.3333333333333333
Florida 1991,Florida,1991,0.0,4.5,0.0,0.5,0.0,4.0,8.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.5,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Georgia 1991,Georgia,1991,0.2,3.0,0.2,0.2,0.0,1.6,4.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,2.0,0.0,0.0,0.2,0.0,0.6,0.0,1.6,1.6,0.8,1.6,1.6,1.6,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.8,0.8,0.0,1.6,4.0,0.8,1.6,0.8,4.0,2.4,1.6,3.2,2.4,2.4,1.6,0.8,3.6,2.0,0.0,0.0,0.4,0.0,0.0,0.0,0.2,0.8,1.2
