Country,Private citizens,Personal protection,Open carry,Concealed carry,Carry without permit,Fully automatic firearms,Unlimited magazine,Free of checks,Free of registration,Max penalty (years),Overall Law Score
Argentina,1.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,3.0,1.9
Australia,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,2.9
Austria,1.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,1.9
Bosnia and Herzegovina,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.2
Botswana,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.9
Brazil,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.8
Brunei,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.9
Canada,1.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.6
Cambodia,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.9
Chile,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.8
China,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.9
Croatia,1.0,2.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,2.0,2.2
Cyprus,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.6
Czech Republic,1.0,1.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,2.0,2.1
Cook Islands,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.9
Denmark,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.6
East Timor,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.9
Egypt,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,2.5
Eritrea,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.9
Estonia,1.0,1.0,3.0,1.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0
Fiji,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.9
Finland,1.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.6
France,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.8
Germany,2.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,2.7
Guam,1.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0
Guatemala,1.0,2.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,2.4
Honduras,1.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.5
Hungary,1.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.7
Iceland,2.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,2.5
India,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,2.8
Indonesia,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,2.9
Iraq,1.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,1.9
Iran,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.4
Ireland,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.4
Israel,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.5
Italy,1.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,2.3
Jamaica,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.4
Japan,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0
Kenya,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,2.6
Kuwait,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.4
Lebanon,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.3
Lithuania,1.0,1.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,2.2
Malaysia,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0
Malta,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0
Marshall Islands,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.9
Mexico,1.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.3
Montenegro,1.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.2
Mongolia,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.3
Myanmar,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Namibia,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.6
Nauru,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.9
Nepal,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.4
Netherlands,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.7
New Zealand,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.4
Nigeria,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.7
North Korea,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0
North Macedonia,1.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.5
Norway,1.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.5
Pakistan,1.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,3.0,2.0,1.8
Palau,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.9
Papua New Guinea,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.9
Philippines,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.5
Poland,1.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,1.9
Puerto Rico,1.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,2.5
Romania,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9
Russia,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.6
American Samoa,1.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.4
Serbia,1.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.4
Singapore,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0
Slovakia,1.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.4
Slovenia,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.5
Solomon Islands,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.9
South Africa,2.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0,3.0,4.0,2.5
South Korea,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.8
